card_number,name,date,amount,description,transaction_number
600558174,Pubill Edinalva,2022-01-08 16:06:55,40000,,RZGGBV4TH1N
906035529,Abdeslam Lahsen,2022-01-21 03:15:52,40000,,F13EKBMMWRP
517096885,Peramo Berto,2022-01-28 05:35:09,20000,120853,UXQEIAABKK2
993862158,Montardit Edoardo,2022-01-16 14:17:48,20000,,RMWBAVDPDGE
402094511,Sorrosal Janaina,2022-01-24 00:09:19,40000,130165,U9YAV4FOJOA
365144280,Rada Yassmine,2022-01-18 07:15:24,10000,,6FXBAAT6Q38
925973597,Pogo Viola,2022-01-06 02:27:47,50000,Cost 144982,DMWWSRJWQ8Q
184040231,Peteiro Khamsa,2022-01-01 17:01:50,40000,147904,B9GGH4D23D8
687401190,Borbolla Ben,2022-01-23 22:00:04,30000,Cost 161621,IMZAEEW31ND
645534857,Tasies Lies,2022-01-16 12:28:37,50000,Cost 180684,PHTO98IS5VB
606726080,Vasquez Angharad,2022-01-05 21:51:47,50000,Cost 187538,PDB5318IS6E
615548671,Dos Ramos Mehmed,2022-01-22 14:42:39,10000,188849,9IXS4X8NXQD
566025021,Uriol Josimar,2022-01-20 14:37:55,40000,Cost 206228,EXGO725TJTC
402837951,Salazar Deepak,2022-01-04 05:04:29,50000,229217,3JF7ET2P37H
232453269,Leyton Hala,2022-01-13 16:13:34,30000,Cost 237689,NF281NNCRE8
804786004,Cartwright Judit,2022-01-20 05:50:32,30000,,RL4LDJOTJK5
485022624,Maia Helder,2022-01-28 10:48:21,20000,247625,K4CEU6UE17B
268785748,De Ory Avigail,2022-01-23 16:44:28,30000,260342,S7VEPOS83WS
260929606,Piferrer Iraide,2022-01-25 23:41:19,50000,267644,MTVYO2QSNB8
345919648,Ponferrada Bru,2022-01-20 09:32:32,50000,Cost 280499,NPQIYCF8YN6
616120272,Olvera Cleofas,2022-01-18 19:27:24,40000,,R8NX9TDIQLD
411191977,Perera Brindusa,2022-01-21 11:45:04,10000,322629,JD6XIPM9K7F
145084617,Sorni Lila,2022-01-07 18:22:51,30000,Cost 328663,55K5NOMP2K3
474693525,Molada Hallar,2022-01-24 07:20:42,10000,Cost 378116,5AINZJT789Q
331235871,Videira Fidencio,2022-01-11 04:57:00,40000,Cost 384396,BGJQT6GYQ94
713381995,Paredero Iaia,2022-01-11 20:22:45,40000,406207,HIFEV1WSETU
320028672,Bover Alisha,2022-01-04 04:29:56,20000,,74O3ND9EP71
692270043,Sarroca Fadua,2022-01-18 22:21:26,30000,,O5GTBCOKYHR
516062523,Ungureanu Ismaila,2022-01-12 02:43:02,40000,419100,1O49MV6L5OV
542112875,Tamas Yohanna,2022-01-19 03:38:38,40000,424239,TL4VQBNHUST
769884843,Torrelles Ilidia,2022-01-18 04:26:21,50000,Cost 438069,6T6HO6GNY4E
741681801,Lizaga Nouriddin,2022-01-19 17:40:26,40000,441619,S8ZOJ73DC24
937918063,Sanchez Cano Iren,2022-01-01 06:51:11,40000,Cost 479689,MC7WV4KNXUY
980697313,Raso Carmelita,2022-01-15 12:24:46,30000,485307,3QI42JE2NTT
423694772,Belaustegi Saeid,2022-01-15 00:44:43,30000,488644,UV23H5WDVDS
217852172,Cuevas Ivor,2022-01-04 10:19:13,40000,497831,HFWI3RTL661
