card_number,name,date,amount,description,transaction_number
870858258,Madroñal Enguia,2022-01-14 18:54:46,10000,130841,J4KUNEDW3AF
756831679,Cajaraville Gene,2022-01-01 04:46:15,30000,133244,XGYOIJ5ADOQ
119116299,Medal Elorri,2022-01-09 23:32:33,30000,153342,OCKGYJN8F2X
847379154,Atienza Felicio,2022-01-03 00:57:53,40000,163292,ZGIRGKNVIW9
867130707,Krubally Maicol,2022-01-11 18:59:37,40000,,WUQ58BVQ6Y5
584962803,Vara Sellam,2022-01-11 23:38:13,50000,180781,HX56ZBO52G5
989431554,Dutan Cleia,2022-01-12 14:33:59,50000,181747,G5ZMFQT1RXG
105839908,El Boukhari Doudou,2022-01-23 09:32:12,30000,Cost 186216,1K6R2IIP9NU
893486789,Leone Padua,2022-01-25 23:10:08,50000,Cost 186291,D6VQMCW1GVX
230951370,Bahloul Orencia,2022-01-15 23:50:10,40000,Cost 192546,148W4EVQAQS
543960997,Piñol Marisol,2022-01-04 15:45:46,40000,Cost 195177,XN2E1HVG976
570996243,Tenas Yanyu,2022-01-08 06:13:30,30000,Cost 202194,CN9N33UDF5N
700021804,Boychuk Riasat,2022-01-02 03:37:15,30000,Cost 202263,6LRKZZ8TLD6
720012604,Bodes Ceila,2022-01-17 07:21:07,30000,,W5V484OYAIP
283473701,San Agustin Wenlong,2022-01-02 16:41:11,50000,Cost 223029,WJXT617DT2Q
980492159,Dios Wilkin,2022-01-11 19:55:31,20000,,MZMSYSGIWKS
719485443,Cercadillo Maricuta,2022-01-24 11:59:06,20000,Cost 243392,CV8B4ZMPMZ8
574484587,Calvache Assya,2022-01-22 14:40:42,20000,,RUUHIGNKD9F
861396945,Tris Bassou,2022-01-14 20:50:20,40000,272208,QWTYT7E2CGK
732787896,Flaño Estera,2022-01-01 02:19:55,20000,,S72QU9E7RKW
662378696,Cotado Prudencio,2022-01-05 19:47:26,30000,,YMZNMORBIP5
687021588,Goldaracena Telesforo,2022-01-21 00:04:38,10000,Cost 312183,CKW4G4KZCOK
404237427,Vidagany Karamoko,2022-01-07 22:11:39,50000,322208,HFO5JO9OCHN
379345316,Costero Iozsef,2022-01-12 00:38:24,30000,385536,U5VQ81BYHWS
767951464,Gazulla Rolanda,2022-01-19 11:48:51,30000,Cost 409819,XM7SHOENY5Q
519034541,Egio Dabo,2022-01-04 07:31:39,40000,Cost 417962,M8HB4CYBYGR
120960826,Masgoret Abdeljalal,2022-01-26 17:40:27,30000,448993,R4VMLQPMRHI
523730528,Langarica Marleni,2022-01-08 02:48:09,10000,,W32L2GVA42T
514590521,De Blas Badr,2022-01-05 23:25:05,40000,,W65OSX38UM1
649597363,Pavez Nani,2022-01-25 20:31:15,50000,,8VVLIES11US
187744741,Haddouti Kameliya,2022-01-26 06:53:40,30000,470292,7YSH976TD57
906864289,Lucenilla Euken,2022-01-13 07:12:37,20000,,JN54TSRZ8BV
366060678,Gaete Yile,2022-01-28 23:44:00,50000,Cost 492280,4XD6D9CW34L
897281138,Torreiro Sabri,2022-01-03 18:45:51,20000,Cost 502407,6KRF8U3NAQ2
665475861,Tera Yurani,2022-01-28 04:03:54,40000,Cost 509352,F9PFIKDOA6T
490515800,Calaforra Fulvio,2022-01-08 02:08:49,40000,,LAJ34U3F8Z4
221727153,Escurra Rima,2022-01-23 07:29:16,50000,,6HQKTNROM8E
463870901,Fartan Aiste,2022-01-04 10:47:53,30000,,PAAJX7DY62Y
511481683,Otegi Foday,2022-01-28 06:12:47,10000,Cost 543267,I21934W9RTY
654788775,Pujols Sanela,2022-01-11 19:40:33,10000,560803,GZP54EGUD31
132935942,Bausela Edward,2022-01-05 05:57:04,40000,Cost 572326,3WPLLTUF7E6
430777313,Cedeño Dadi,2022-01-03 13:17:57,40000,576115,231QL9NF3AZ
841091073,Markaida Ce,2022-01-12 10:48:18,40000,Cost 577776,I9QAD4S82LY
418066725,Borragan Zeinebou,2022-01-12 01:43:48,10000,Cost 581602,PE31XGNJSWR
444714358,Prisacariu Seferina,2022-01-08 08:44:40,40000,Cost 588007,AH9J2F53V56
719281979,Mindeguia Celerino,2022-01-27 21:47:57,40000,594079,33HXJG88QNC
687303991,Falomir Fethi,2022-01-16 14:54:29,30000,596988,HHCQSG3BIUB
260510499,Lantes Juvencio,2022-01-06 19:09:16,20000,Cost 597804,L84VEHC853V
579425687,El Ghalbzouri Vivas,2022-01-22 16:02:32,20000,Cost 615265,KY8C96UAEJE
596126557,Albadalejo Evolet,2022-01-27 13:12:50,30000,Cost 622011,HLRWNCBCNTH
243577298,Cioca Adonais,2022-01-19 22:36:21,30000,,1M5IBHLVASR
416074824,Calvo Manzano Purita,2022-01-26 08:04:53,30000,,PRH2EHAHT3J
978064786,Peters Theodoros,2022-01-14 14:37:54,30000,666353,6AFPHJFIW15
673770296,Sitjas Ferruccio,2022-01-11 04:29:31,40000,681436,UUYYSVM5D81
531406484,Udaondo Ekhi,2022-01-29 05:52:50,10000,698022,EZYXD4T1O8W
185960377,Ojosnegros Guanjun,2022-01-20 14:38:34,50000,,GL8H1LVM1SE
180631563,Borrull Erenia,2022-01-13 23:52:30,30000,,5D2ATM1ZJOO
978581763,Mensa Samou,2022-01-06 22:57:52,20000,,6HYSO4UWRMS
972767014,Darghal Leonid,2022-01-12 15:39:29,50000,720762,G54FSU7DWWG
214269398,Ameneiro Estrella,2022-01-25 13:16:11,30000,Cost 737465,58FV3X1XRDY
315247595,Used Szilard,2022-01-22 03:36:15,30000,Cost 738519,5G6WXBBCMVK
128594224,Almudever Marjatta,2022-01-21 07:21:20,40000,752847,H7FNNQWU573
193929091,Hernandiz Suelen,2022-01-18 21:18:53,40000,,DPSQRTP6CTG
981687799,Gimenez Rhizlane,2022-01-27 02:33:01,10000,Cost 753524,4CPF397TAAS
865629843,Sanchez Blanca Valeska,2022-01-03 14:12:48,20000,,948N3Q7F67S
999453763,Fombellida Kalidasa,2022-01-08 19:12:47,50000,Cost 798482,LGYPYV995YS
123833415,Woodhouse Qaiser,2022-01-20 08:12:45,30000,Cost 805897,SMT1GBSN1ZN
711535706,Dapia Gobrias,2022-01-15 01:37:40,30000,Cost 823022,UQFUNTI2ZZA
497412122,Bonel Arianna,2022-01-15 01:25:43,30000,865184,KABMRGZD3JF
710508066,Hergueta Pepe,2022-01-05 01:59:36,20000,Cost 869966,VRJ6GCU932E
181723516,Castello Juanita,2022-01-21 18:41:41,10000,878712,28L9RWQAWMA
994377750,Suils Ruxandra,2022-01-01 13:28:23,40000,Cost 887915,P4KTVNKUY9N
721282297,Perera Pricila,2022-01-14 13:14:14,40000,895833,JOAZD9OTSHW
282783509,Salgado Alvino,2022-01-21 01:15:04,40000,Cost 911294,T9SQBTWXSZ2
